代码,简称,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
006020,广发沪深300指数增强A,1.4156,1.4156,0.9%,0.7%,-2.73%,-0.32%,12.77%,20.38%,-7.26%,-18.22%,-1.39%,41.55%
005530,汇添富沪深300指数增强A,1.3306,1.5405,0.78%,0.88%,-2.69%,-0.46%,13.05%,20.33%,3.35%,-5.25%,-1.87%,56.97%
016204,东方沪深300指数增强A,1.0563,1.0563,0.59%,1.33%,-1.85%,-1.34%,9.14%,20.32%,0.35%,,-0.63%,5.63%
014126,华夏中证1000指数增强C,0.9289,0.9289,1.81%,1.93%,-1.41%,3.6%,24.02%,20.26%,-1.42%,-3.82%,0.98%,-7.11%
001879,长城创业板指数增强A,1.574,1.574,1.16%,2.43%,-3.42%,-2.28%,25.84%,20.22%,-23.89%,-34.75%,-0.06%,57.4%
005114,平安沪深300指数量化C,1.1995,1.1995,0.98%,0.99%,-2.51%,0.28%,14.49%,20.21%,-6.83%,-16.45%,-1.37%,19.95%
019186,泰康中证1000指数增强发起C,1.0463,1.0463,1.52%,1.95%,-1.48%,4.11%,27.3%,20.2%,,,0.78%,4.63%
008238,中泰沪深300增强A,1.3813,1.3813,0.7%,0.64%,-3.05%,-1.71%,12.93%,20.19%,-0.94%,-8.87%,-2.06%,38.13%
018786,招商国证2000指数增强A,1.0759,1.0759,1.1%,1.2%,-1.85%,6.96%,28.45%,20.17%,,,0.2%,7.59%
013640,光大中证500指数增强C,0.9249,0.9249,1.07%,0.71%,-3.1%,1.78%,15.89%,20.09%,3%,-3.88%,-1.44%,-7.51%
004874,融通巨潮100指数C,0.844,1.569,0.72%,0.72%,-3.54%,-2.43%,11.64%,20.06%,-4.85%,-15.18%,-2.76%,38.69%
019694,中欧中证500指数增强E,0.9839,0.9839,0.9%,1.53%,-0.85%,0.91%,23.42%,20.06%,,,1.1%,10.66%
009059,南方沪深300增强A,1.176,1.176,0.7%,1.31%,-2%,-0.53%,11.99%,20.05%,-1.18%,-16.39%,-1.26%,17.6%
002310,创金合信沪深300指数增强A,1.3996,1.5376,0.63%,0.39%,-4.2%,-1.16%,14.2%,20.04%,-1.09%,-11.89%,-2.99%,58.33%
018662,大成中证1000指数增强发起式C,1.0204,1.0204,1.85%,1.99%,-3.47%,9.45%,37.28%,20.03%,,,-0.25%,2.04%
163209,诺安创业板指数增强(LOF)A,1.5048,1.6465,1.46%,2.56%,-3.83%,-3.29%,23.72%,19.99%,-16.83%,-26.02%,-0.64%,18.6%
004192,招商中证500指数A,1.3704,1.3704,0.97%,0.98%,-2.52%,1.26%,21.32%,19.98%,1.22%,-4.09%,-0.42%,37.04%
009727,招商中证500等权重指数增强C,1.2657,1.2657,1.25%,1.01%,-2.11%,1.84%,20.61%,19.97%,1.36%,0.76%,0%,26.57%
011546,长江沪深300指数增强发起式C,0.7775,0.7775,0.83%,0.49%,-2.36%,-1.42%,10.77%,19.97%,-2.82%,-15.8%,-1.11%,-22.25%
001556,天弘中证500指数增强A,1.1599,1.1599,1.13%,1.3%,-3.24%,-0.9%,18.99%,19.95%,-5.83%,-15.99%,-0.68%,15.99%
003646,创金合信中证1000指数增强A,1.5445,1.5445,1.51%,1.01%,-2.64%,6.97%,31.75%,19.94%,-2.97%,-5.13%,0.16%,54.45%
005288,海富通创业板增强A,1.2176,1.5072,1.69%,2.95%,-1.43%,1.05%,23.36%,19.94%,-11.41%,-24.19%,1.6%,53.1%
002315,创金合信沪深300指数增强C,1.3936,1.5386,0.63%,0.39%,-4.21%,-1.18%,14.15%,19.93%,-1.28%,-12.14%,-3%,58.58%
015454,中欧中证500指数增强C,0.9738,0.9738,0.9%,1.53%,-0.86%,0.88%,23.33%,19.93%,-1.21%,,1.1%,-2.62%
010872,博时沪深300指数增强A,0.7303,0.7303,0.81%,1.39%,-2.25%,-0.91%,11.21%,19.92%,-3.6%,-12.87%,-1.51%,-26.97%
016865,华泰紫金中证500指数增强发起A,0.9582,0.9582,1.09%,0.92%,-2.51%,0.06%,19.88%,19.92%,,,-0.5%,-4.18%
006021,广发沪深300指数增强C,1.3803,1.3803,0.9%,0.69%,-2.76%,-0.41%,12.55%,19.91%,-8%,-19.21%,-1.42%,38.02%
006928,长城创业板指数增强C,1.5374,1.5374,1.16%,2.42%,-3.44%,-2.35%,25.65%,19.86%,-24.35%,-35.33%,-0.08%,76.85%
010556,汇添富沪深300指数增强C,1.3069,1.5168,0.78%,0.87%,-2.72%,-0.56%,12.82%,19.86%,2.53%,-6.38%,-1.89%,-3.11%
004194,招商中证1000指数增强A,1.5433,1.5433,1.47%,1.22%,-3.16%,4.16%,26.96%,19.86%,-0.35%,-0.77%,0.07%,54.33%
016962,国联安中证1000指数增强A,0.9881,0.9881,1.46%,1.78%,-0.96%,5.5%,29.08%,19.83%,-1.94%,,0.93%,-1.19%
016205,东方沪深300指数增强C,1.0446,1.0446,0.58%,1.32%,-1.9%,-1.47%,8.87%,19.72%,-0.65%,,-0.67%,4.46%
003647,创金合信中证1000指数增强C,1.5173,1.5173,1.52%,1.02%,-2.65%,6.92%,31.63%,19.71%,-3.35%,-5.7%,0.15%,51.73%
008239,中泰沪深300增强C,1.3549,1.3549,0.7%,0.64%,-3.08%,-1.81%,12.71%,19.71%,-1.73%,-9.96%,-2.08%,35.49%
014344,鹏华中证500指数增强A,1.0283,1.0283,1.05%,0.84%,-1.31%,3.22%,20.69%,19.71%,4.05%,3.34%,0.58%,2.83%
233010,大摩深证300指数增强,1.732,1.732,1.11%,1.11%,-2.81%,-1.93%,16.32%,19.7%,-9.22%,-21.77%,-1.14%,73.2%
018787,招商国证2000指数增强C,1.0695,1.0695,1.1%,1.19%,-1.89%,6.84%,28.19%,19.68%,,,0.17%,6.95%
213010,宝盈中证A100指数增强A,1.691,2.036,0.71%,0.59%,-2.87%,-1.97%,12.43%,19.67%,-3.15%,-12.16%,-1.91%,105.02%
001557,天弘中证500指数增强C,1.1258,1.1258,1.13%,1.3%,-3.27%,-0.98%,18.81%,19.59%,-6.39%,-16.75%,-0.71%,12.58%
163808,中银中证A100指数增强,1.752,1.762,0.75%,0.52%,-3.15%,-2.61%,12.24%,19.59%,-4.26%,-14.62%,-2.18%,76.95%
016963,国联安中证1000指数增强C,0.9837,0.9837,1.45%,1.77%,-0.99%,5.43%,28.94%,19.58%,-2.34%,,0.91%,-1.63%
009060,南方沪深300增强C,1.1538,1.1538,0.7%,1.3%,-2.04%,-0.64%,11.76%,19.56%,-1.97%,-17.39%,-1.29%,15.38%
010873,博时沪深300指数增强C,0.7214,0.7214,0.81%,1.38%,-2.28%,-0.97%,11.04%,19.54%,-4.18%,-13.66%,-1.53%,-27.86%
010356,诺安创业板指数增强(LOF)C,1.4794,1.4794,1.47%,2.56%,-3.85%,-3.38%,23.48%,19.53%,-17.48%,-26.9%,-0.66%,-4.07%
004193,招商中证500指数C,1.3401,1.3401,0.97%,0.97%,-2.55%,1.15%,21.08%,19.5%,0.41%,-5.23%,-0.45%,34.01%
