代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,跟踪误差,超额收益,管理规模
009087,太平中债1-3年,吴超,太平,0.00亿元,76.0,88,76.0,77.2,3,1,5,5,2.76%,优秀,3.10%,优秀,5.16%,良好,8.05%,良好,10.30%,良好,---,,75.0,70.0,75.0,80.0,80.0
010203,天弘中证科技10,刘笑明,天弘,1.69亿元,84.00000000000001,84,73.0,77.4,3,3,5,5,-0.21%,优秀,16.74%,良好,23.97%,良好,1.71%,良好,-9.85%,良好,---,,75.0,75.0,70.0,70.0,75.0
010202,天弘中证科技10,刘笑明,天弘,0.94亿元,84.00000000000001,84,73.0,77.4,3,3,5,5,-0.14%,优秀,16.91%,良好,24.34%,良好,2.31%,良好,-9.04%,良好,---,,75.0,75.0,70.0,70.0,75.0
009726,招商中证500等,王岩,招商,10.01亿元,84.00000000000001,87,76.0,79.50000000000001,3,5,3,5,0.08%,优秀,18.21%,良好,21.38%,良好,1.73%,良好,1.65%,优秀,---,,80.0,75.0,65.0,80.0,80.0
008583,西部利得中债1-,刘心峰,西部利得,78.95亿元,84.00000000000001,76,81.0,81.4,3,3,5,5,1.38%,一般,2.18%,良好,4.71%,良好,8.61%,良好,10.42%,良好,---,,65.0,70.0,80.0,95.0,95.0
008584,西部利得中债1-,刘心峰,西部利得,0.41亿元,84.00000000000001,64,76.0,77.20000000000002,3,3,5,5,1.36%,一般,2.12%,良好,4.59%,良好,8.38%,良好,10.08%,一般,---,,65.0,70.0,80.0,95.0,70.0
010673,兴全中证800六,申庆,兴证全球,10.98亿元,80.0,86,76.0,78.19999999999999,3,5,2,5,-2.26%,良好,14.72%,良好,19.80%,良好,5.74%,优秀,0.10%,优秀,---,,80.0,80.0,60.0,75.0,85.0
952003,国泰君安中债1-,刘明,国泰君安资管,11.30亿元,76.0,24,80.0,73.2,3,5,5,3,1.12%,一般,1.46%,一般,3.51%,一般,6.34%,不佳,8.33%,不佳,---,,65.0,70.0,90.0,90.0,85.0
004194,招商中证1000,蔡振,招商,9.75亿元,84.00000000000001,88,74.0,78.39999999999999,3,5,3,5,2.12%,优秀,23.23%,良好,19.79%,良好,-1.80%,良好,-1.53%,优秀,58.44%,优秀,75.0,70.0,65.0,80.0,80.0
213010,宝盈中证A100,蔡丹,宝盈,1.72亿元,76.0,72,79.0,77.4,3,5,5,3,-3.78%,一般,10.90%,一般,20.10%,良好,-3.84%,良好,-12.89%,良好,20.03%,良好,80.0,80.0,80.0,80.0,75.0
470007,汇添富上证综合指,吴振翔,汇添富,9.94亿元,64.0,56,78.0,71.6,3,2,1,5,-1.62%,良好,9.83%,一般,18.63%,一般,5.18%,优秀,-0.04%,优秀,25.42%,良好,80.0,80.0,70.0,75.0,85.0
165312,建信央视财经50,叶乐天,建信,3.58亿元,72.0,56,77.0,73.39999999999999,3,3,2,5,-2.18%,良好,11.45%,一般,18.35%,一般,4.30%,优秀,-1.73%,优秀,27.69%,良好,80.0,80.0,70.0,75.0,80.0
